id;libelle_produit;prix_produit;quantite_produit;image_produit;image_produit_content_type
1;avant de nonobstant;23429774912074207000;3731;../fake-data/blob/hipster.png;image/png
2;broum;25378174660727380000;993;../fake-data/blob/hipster.png;image/png
3;tendre prestataire de services;48066369746811680000;20799;../fake-data/blob/hipster.png;image/png
4;actionnaire cot cot;41809588647447530000;28166;../fake-data/blob/hipster.png;image/png
5;de sorte que direction drôlement;6797224562615157000;15118;../fake-data/blob/hipster.png;image/png
6;du moment que bien que;25269154645502566000;11864;../fake-data/blob/hipster.png;image/png
7;dessous turquoise plutôt;24646276654675603000;16413;../fake-data/blob/hipster.png;image/png
8;hors de discuter gigantesque;38363630208186810000;16431;../fake-data/blob/hipster.png;image/png
9;avant que;25703010871075090000;17442;../fake-data/blob/hipster.png;image/png
10;fier souple;85994346579536800000;6288;../fake-data/blob/hipster.png;image/png
